set,method,metric,n,noBC_mean,noBC_std,BC_mean,BC_std,diff_mean,diff_ci_low,diff_ci_high,p_wilcoxon,p_perm
Vertical,SVM,IoU,50,37.843837576559295,13.042213763707252,36.69490694841586,12.651156442670777,-1.1489306281434244,-1.7296641679226443,-0.6965325247497733,4.946991082681142e-07,0.0
Vertical,SVM,Dice,50,53.60860967226261,14.200610478145393,52.42772921559513,14.066511797413202,-1.1808804566674749,-1.912876139792584,-0.6800606219341446,6.741240940815144e-07,0.0
Vertical,SVM,Precision,50,47.78612504316352,14.566310645368844,45.84183813934093,14.206650187076248,-1.9442869038226018,-2.9661693698351623,-1.1806631578214244,4.696732589550207e-07,0.0
Vertical,SVM,Recall,50,63.17118713815033,14.963478358502083,63.636285571232435,15.244637780051567,0.4650984330821043,0.19286142689273225,0.7872963696307294,3.6836078639392264e-05,0.0002
Vertical,SVM,Accuracy,50,98.61923217773438,1.0176717621219573,98.5142822265625,1.0832522813728298,-0.104949951171877,-0.22381973266601915,-0.02538986206055129,3.1560466772961233e-06,0.0019
Vertical,LightGBM,IoU,50,29.375856215970686,11.51978134257503,29.319067553988653,11.412907932200277,-0.05678866198203453,-0.31093923419614145,0.20731698371964555,0.3862707203664827,0.6673
Vertical,LightGBM,Dice,50,44.25692214134501,13.359606746751753,44.202085125134964,13.319769607154349,-0.05483701621004611,-0.32947742774361305,0.23986657834932312,0.3862707203664827,0.711
Vertical,LightGBM,Precision,50,33.90077257542016,12.488888238608775,33.777603940242486,12.362556332594043,-0.12316863517767519,-0.546462624723816,0.27257082959165435,0.3328797545683888,0.5936
Vertical,LightGBM,Recall,50,67.39487004161714,14.673140416608302,67.40775330661764,14.61479747725965,0.012883265000491528,-0.08565618418347642,0.10495563032687344,0.44126813332892967,0.7988
Vertical,LightGBM,Accuracy,50,97.75888061523438,1.4670227935018054,97.75396728515625,1.4639087521579452,-0.004913330078125222,-0.02172851562500001,0.012268066406250031,0.3328797545683888,0.5939
Vertical,KNN,IoU,50,24.68297028889522,11.041869951336006,24.722424386510045,11.039342666246588,0.039454097614824796,-0.025099868767512995,0.1231408772548629,0.12364826622844466,0.3574
Vertical,KNN,Dice,50,38.44316818310327,13.358603262025012,38.49498507982636,13.353629770303954,0.051816896723090033,-0.02889173313277394,0.1550700143095538,0.11970367362071829,0.3265
Vertical,KNN,Precision,50,27.03406910708174,11.564470427303279,27.088307472325745,11.573885832860832,0.054238365243997305,-0.035032185057364454,0.1817631038835723,0.1638536228381079,0.4116
Vertical,KNN,Recall,50,70.77497922215247,12.945547931693655,70.80599469553025,12.964143942354383,0.031015473377780545,-0.01888837244109698,0.08220285363628212,0.21795726558824124,0.2464
Vertical,KNN,Accuracy,50,96.88946533203125,2.1640679925261326,96.89224243164062,2.163012767119529,0.002777099609375666,-0.007202148437500933,0.0121765136718748,0.2447594319994223,0.5921
Vertical,LDA,IoU,50,41.346572648323004,16.136741983091344,32.94223928420297,13.62262271632673,-8.40433336412004,-10.947158397332544,-6.047166086105393,4.9116266609416925e-12,0.0
Vertical,LDA,Dice,50,56.609502838122175,17.173559686031673,47.95593235177915,16.082581852626806,-8.653570486343027,-11.208301025402825,-6.270562421486137,6.616929226765933e-12,0.0
Vertical,LDA,Precision,50,58.19212902441927,21.056958127334788,42.59582443386084,19.72360733468233,-15.596304590558429,-19.409129229256163,-11.91201608250575,3.0890845437170356e-12,0.0
Vertical,LDA,Recall,50,59.01840533979657,12.947467080274727,64.51955475942884,16.054039747704245,5.501149419632264,4.215011786048831,6.87102090184996,5.571017681234642e-09,0.0
Vertical,LDA,Accuracy,50,98.55218505859375,2.1490986307522237,97.44186401367188,3.324014471374384,-1.1103210449218741,-1.697569274902342,-0.6479034423828088,1.920711410342888e-09,0.0
Vertical,QDA,IoU,50,38.95955238076157,17.407208395353358,37.57575280270188,16.46608228876135,-1.383799578059696,-4.264076729327894,1.3998455106399934,0.8632650227005474,0.3442
Vertical,QDA,Dice,50,53.705956506573706,19.621189859182074,52.42679886384371,19.000693855280538,-1.279157642729988,-4.642676763927092,1.932450200323159,0.8407540567937097,0.4459
Vertical,QDA,Precision,50,74.59199805390816,21.770818925985417,61.31588306311199,23.444199930628436,-13.276114990796179,-19.079456658819943,-8.040769466953083,1.260182003193222e-08,0.0001
Vertical,QDA,Recall,50,45.55487796070541,19.071743854119518,53.69168441948632,21.521300034521172,8.136806458780892,5.863347531309219,10.243106561796168,7.798730550234723e-08,0.0
Vertical,QDA,Accuracy,50,98.9716796875,1.365187486084655,98.37307739257812,2.5889013938087952,-0.5986022949218757,-1.0196022033691394,-0.26930160522461033,4.265068923701819e-05,0.0
Horizontal,SVM,IoU,50,32.636310894695484,10.206169876369433,32.2384829150826,9.867939752660037,-0.39782797961288596,-0.5807158974466302,-0.22751343388404013,4.077831002609239e-05,0.0002
Horizontal,SVM,Dice,50,48.339642880801826,11.601922202440344,47.93148975515518,11.33694782614805,-0.40815312564664835,-0.5874801240361631,-0.2385597169198856,3.189969727547517e-05,0.0
Horizontal,SVM,Precision,50,43.01794421624824,12.035980518460105,42.33780268301868,11.80737051318164,-0.680141533229556,-0.9977553867549416,-0.3706365124181657,0.00011587214767343334,0.0
Horizontal,SVM,Recall,50,57.06709636132917,13.48787612172488,57.275043861796235,13.611757284925922,0.207947500467064,0.1018653724393811,0.32115984139713066,0.0007405653023944464,0.0005
