set,method,metric,transform,n,raw_mean,raw_std,tf_mean,tf_std,diff_mean,diff_ci_low,diff_ci_high,p_perm,p_wilcoxon
Vertical,LDA,IoU,boxcox,50,41.346572648323004,16.136741983091344,32.94223928420297,13.62262271632673,-8.40433336412004,-10.916831808264732,-6.0497261014500285,0.0,4.9116266609416925e-12
Vertical,LDA,IoU,histeq,50,41.346572648323004,16.136741983091344,10.21280434379215,8.076826783791931,-31.133768304530857,-35.27391925275285,-26.974398498370423,0.0,3.552713678800501e-15
Vertical,LDA,IoU,clahe,50,41.346572648323004,16.136741983091344,29.723495716876215,14.444524984961141,-11.623076931446787,-13.412114817425083,-9.759585152595774,0.0,4.4941828036826337e-13
Vertical,LDA,Dice,boxcox,50,56.609502838122175,17.173559686031673,47.95593235177915,16.082581852626806,-8.653570486343027,-11.228576484515687,-6.241173884773751,0.0,6.616929226765933e-12
Vertical,LDA,Dice,histeq,50,56.609502838122175,17.173559686031673,17.5958151887203,13.108052871352378,-39.01368764940187,-43.701982970983615,-34.164056935247054,0.0,3.552713678800501e-15
Vertical,LDA,Dice,clahe,50,56.609502838122175,17.173559686031673,44.12402206007843,15.766278537241686,-12.485480778043746,-14.514585273649796,-10.274705836589128,0.0,3.6148861681795097e-12
Vertical,LDA,Precision,boxcox,50,58.19212902441927,21.056958127334788,42.59582443386084,19.72360733468233,-15.596304590558429,-19.455263551723533,-11.81002032187889,0.0,3.0890845437170356e-12
Vertical,LDA,Precision,histeq,50,58.19212902441927,21.056958127334788,11.44032418093676,11.05283063987371,-46.75180484348251,-52.38086769007009,-40.66750614453995,0.0,2.4868995751603507e-14
Vertical,LDA,Precision,clahe,50,58.19212902441927,21.056958127334788,34.333243350353676,16.434083554360935,-23.85888567406559,-26.871735920436418,-20.695852870470084,0.0,3.375077994860476e-14
Vertical,LDA,Recall,boxcox,50,59.01840533979657,12.947467080274727,64.51955475942884,16.054039747704245,5.501149419632264,4.222063738314174,6.829474977460735,0.0,5.571017681234642e-09
Vertical,LDA,Recall,histeq,50,59.01840533979657,12.947467080274727,55.18337985657828,36.730696356361804,-3.8350254832183057,-12.753602753187732,4.158911205844831,0.3829,0.6947463342363385
Vertical,LDA,Recall,clahe,50,59.01840533979657,12.947467080274727,67.4660769304227,12.378046651404452,8.447671590626122,7.342080649491697,9.54199818601105,0.0,8.532308998540057e-10
Vertical,QDA,IoU,boxcox,50,38.95955238076157,17.407208395353358,37.57575280270188,16.46608228876135,-1.383799578059696,-4.294251394952449,1.396278367348088,0.3504,0.8632650227005474
Vertical,QDA,IoU,histeq,50,38.95955238076157,17.407208395353358,10.67471861608114,8.86769902686886,-28.284833764680435,-33.00526178739061,-23.47006756989503,0.0,1.6090935316643191e-09
Vertical,QDA,IoU,clahe,50,38.95955238076157,17.407208395353358,38.579592261256714,14.653452321606803,-0.379960119504862,-2.9145446025807447,2.1710718444117134,0.7778,0.9237813566146151
Vertical,QDA,Dice,boxcox,50,53.705956506573706,19.621189859182074,52.42679886384371,19.000693855280538,-1.279157642729988,-4.6298145511000826,1.9264447192089393,0.4541,0.8407540567937097
Vertical,QDA,Dice,histeq,50,53.705956506573706,19.621189859182074,18.22242905271808,13.676490539484309,-35.483527453855615,-40.73255671751969,-30.20545687528412,0.0,1.5129202138873068e-09
Vertical,QDA,Dice,clahe,50,53.705956506573706,19.621189859182074,54.000533581119214,16.47995409701733,0.2945770745455235,-2.511873508923367,3.1378091531188685,0.8448,0.7304479390240814
Vertical,QDA,Precision,boxcox,50,74.59199805390816,21.770818925985417,61.31588306311199,23.444199930628436,-13.276114990796179,-19.08474790939611,-8.12602992253882,0.0,1.260182003193222e-08
Vertical,QDA,Precision,histeq,50,74.59199805390816,21.770818925985417,11.664723443407636,10.870532845769318,-62.927274610500525,-68.68643213097994,-56.67383632636981,0.0,1.1100954635085597e-09
Vertical,QDA,Precision,clahe,50,74.59199805390816,21.770818925985417,57.54293706580537,18.787594968158654,-17.049060988102802,-20.61878656707661,-13.270412235475376,0.0,7.151434999741468e-11
Vertical,QDA,Recall,boxcox,50,45.55487796070541,19.071743854119518,53.69168441948632,21.521300034521172,8.136806458780892,5.824319865339596,10.266230246306746,0.0,7.798730550234723e-08
Vertical,QDA,Recall,histeq,50,45.55487796070541,19.071743854119518,61.58550700965401,34.546217814503585,16.030629048948576,9.340824293920909,22.371049405844428,0.0001,0.0005673994129977052
Vertical,QDA,Recall,clahe,50,45.55487796070541,19.071743854119518,56.33202672259062,18.154291421021433,10.777148761885204,9.313015125741114,12.382923472769095,0.0,1.7763568394002505e-15
Horizontal,LDA,IoU,boxcox,50,34.880802781483396,12.91577993176934,29.817383183688683,10.232365362693402,-5.063419597794714,-7.215467119504409,-3.1745798606184055,0.0,3.0854181432005134e-09
Horizontal,LDA,IoU,histeq,50,34.880802781483396,12.91577993176934,10.888678986085061,12.680669738415403,-23.99212379539834,-27.713438874484776,-20.308955372214633,0.0,5.861977570020827e-14
Horizontal,LDA,IoU,clahe,50,34.880802781483396,12.91577993176934,22.886843419111194,8.985301152278343,-11.993959362372205,-13.503133095925424,-10.429396303927115,0.0,3.552713678800501e-15
Horizontal,LDA,Dice,boxcox,50,50.380711824419286,14.369120671429206,45.021632673774846,11.897717182827053,-5.359079150644439,-7.660042803871327,-3.3273054760615914,0.0,4.8571529021046445e-09
Horizontal,LDA,Dice,histeq,50,50.380711824419286,14.369120671429206,17.549186307320642,18.79587968295263,-32.83152551709863,-37.581091160512436,-28.005046110527598,0.0,2.4868995751603507e-14
Horizontal,LDA,Dice,clahe,50,50.380711824419286,14.369120671429206,36.417486515063,11.635875585795043,-13.963225309356286,-15.507308867138148,-12.340945836481437,0.0,3.552713678800501e-15
Horizontal,LDA,Precision,boxcox,50,48.537851392343995,17.42401248086941,39.34301071151034,14.106465244542873,-9.194840680833655,-12.381262733372347,-6.1788811864126885,0.0,3.0854181432005134e-09
Horizontal,LDA,Precision,histeq,50,48.537851392343995,17.42401248086941,15.872575556275129,23.119778079713118,-32.66527583606887,-39.01809207077569,-25.69301837316626,0.0,8.008242957657785e-10
Horizontal,LDA,Precision,clahe,50,48.537851392343995,17.42401248086941,26.15320108199335,10.13659345592992,-22.384650310350644,-25.078702220551186,-19.696635435425318,0.0,1.7763568394002505e-15
Horizontal,LDA,Recall,boxcox,50,54.706343476942585,11.672047161134486,57.61765941221695,14.56659569415429,2.911315935274354,1.798768355450614,3.9436655125248197,0.0,3.661540068410231e-07
Horizontal,LDA,Recall,histeq,50,54.706343476942585,11.672047161134486,38.17938339075202,36.78667515599483,-16.526960086190574,-24.580398894385315,-8.414444379943363,0.0001,0.0036632546526647047
Horizontal,LDA,Recall,clahe,50,54.706343476942585,11.672047161134486,63.55981704063953,11.835984534361215,8.85347356369694,7.862773321081315,9.829569769641274,0.0,8.881784197001252e-15
Horizontal,QDA,IoU,boxcox,50,32.21896163370971,15.9226477615632,34.59315619217537,13.289682783370582,2.3741945584656596,0.09485832852068513,4.400251642617307,0.0403,0.0010251160635235124
Horizontal,QDA,IoU,histeq,50,32.21896163370971,15.9226477615632,9.1225233400008,11.866936014406614,-23.096438293708907,-27.15260795833545,-19.059523976340962,0.0,7.638334409421077e-14
Horizontal,QDA,IoU,clahe,50,32.21896163370971,15.9226477615632,32.142580384558876,12.87273415507572,-0.0763812491508335,-2.472254162216973,2.107098230633536,0.9471,0.5086300594933544
Horizontal,QDA,Dice,boxcox,50,46.379779930750146,20.15668192222201,49.85423568282098,16.162296192365876,3.4744557520708366,0.828846404920989,6.036118422583714,0.013,0.0006715891126169993
Horizontal,QDA,Dice,histeq,50,46.379779930750146,20.15668192222201,14.880697957543934,17.42670304201146,-31.499081973206206,-36.55074660452731,-26.404135028379123,0.0,5.861977570020827e-14
Horizontal,QDA,Dice,clahe,50,46.379779930750146,20.15668192222201,47.132492170340036,15.992227997089408,0.7527122395898957,-1.9724942210909757,3.3539977694380068,0.5847,0.32777522027848605
Horizontal,QDA,Precision,boxcox,50,77.83095342631141,10.610780693124475,63.52093445440269,17.31753223421953,-14.310018971908715,-19.112483986465868,-10.290699893975408,0.0,1.34718902700115e-11
Horizontal,QDA,Precision,histeq,50,77.83095342631141,10.610780693124475,10.827061807271676,16.590423630759744,-67.00389161903973,-71.54941765942763,-62.058379436064826,0.0,7.55351264387376e-10
Horizontal,QDA,Precision,clahe,50,77.83095342631141,10.610780693124475,54.02706354772672,14.181820078934662,-23.803889878584684,-26.981475721432396,-20.60348317389124,0.0,1.7763568394002505e-15
Horizontal,QDA,Recall,boxcox,50,36.964984391982384,19.585463183784114,46.38348313840202,19.839396940144315,9.41849874641963,8.217977452200861,10.628295031027958,0.0,3.552713678800501e-15
Horizontal,QDA,Recall,histeq,50,36.964984391982384,19.585463183784114,40.20352252325138,38.466215102531095,3.2385381312689967,-4.327794129370826,10.607576375705786,0.3882,0.46647302992520423
Horizontal,QDA,Recall,clahe,50,36.964984391982384,19.585463183784114,48.41149247209043,20.11725677717375,11.446508080108048,10.27863009755292,12.590182637254927,0.0,1.7763568394002505e-15
Left,LDA,IoU,boxcox,50,40.680261308990374,17.06428944480968,29.46808162643137,12.041170273564155,-11.212179682559,-14.470422416266116,-8.051253663566547,0.0,1.3874409509661353e-08
