set,method,metric,n,noBC_mean,noBC_std,BC_mean,BC_std,diff,ci_low,ci_high,p_perm,p_wilcoxon
Vertical,SVM,IoU,10,8.771028328960801,10.927127851715952,7.166841690756323,3.9915304994585794,-1.6041866382044763,-7.772675456152051,3.4813714670763796,0.5962,0.845703125
Vertical,SVM,Dice,10,14.665019770608701,16.23180381847801,13.14488666844165,6.872949345981846,-1.5201331021670512,-10.395777712388876,6.191569032980653,0.7302,0.845703125
Vertical,SVM,Precision,10,10.26067912335649,14.326842878392618,7.973307097394168,4.442694760164512,-2.2873720259623194,-10.65246329696635,4.334064328350409,0.6092,0.845703125
Vertical,SVM,Recall,10,72.23766136381934,18.586796684247805,64.23775614733103,22.969280401407396,-7.999905216488309,-20.421576962415326,2.6270842778660706,0.2541,0.44126813332892967
Vertical,SVM,Accuracy,10,79.17648315429688,29.34429541619748,89.77859497070312,13.30704095795426,10.60211181640625,-5.557643890380859,32.105865478515625,0.3876,0.556640625
Vertical,LightGBM,IoU,10,3.1470769057154415,2.2994945143963315,2.8014378432526197,1.5294997770337475,-0.34563906246282233,-1.446323582375765,0.89099917196361,0.6096,0.4921875
Vertical,LightGBM,Dice,10,6.0173800658443115,4.2244261945188235,5.411935823975657,2.8571979112772623,-0.6054442418686539,-2.6162358145227373,1.6856975115837862,0.623,0.4921875
Vertical,LightGBM,Precision,10,3.2280819656036597,2.422101781395413,2.8660734663027263,1.5925690287573588,-0.3620084993009329,-1.529446361444709,0.9744293879408894,0.6204,0.4921875
Vertical,LightGBM,Recall,10,69.9544295987068,15.743931739998265,67.82754988491808,22.843808397849475,-2.126879713788717,-15.309936960997236,8.406537191970449,0.7822,0.76953125
Vertical,LightGBM,Accuracy,10,74.67376708984375,27.221419621599985,80.128173828125,15.51306337111983,5.45440673828125,-10.369586944580076,27.27356338500976,0.7419,1.0
Vertical,KNN,IoU,10,2.6417405628202393,1.9319460629389371,2.5684975216070085,1.1782958240690697,-0.07324304121323078,-1.0438843070474546,0.9091753662266351,0.8801,0.6953125
Vertical,KNN,Dice,10,5.086792824008908,3.5842364225562773,4.985374874803254,2.222835320192618,-0.10141794920565267,-1.9189008967758783,1.8099287237922232,0.909,0.6953125
Vertical,KNN,Precision,10,2.69876461965616,2.0265676131914314,2.6449742836047454,1.2376627783823673,-0.05379033605141477,-1.0965420553708145,1.0264764759056981,0.8994,0.6953125
Vertical,KNN,Recall,10,70.80307901038717,15.577118249235339,68.910501987034,21.928117624251666,-1.892577023353158,-13.981873578367503,8.062772437931006,0.7991,0.6953125
Vertical,KNN,Accuracy,10,71.514892578125,26.713813137572366,77.97409057617188,15.105904837633446,6.459197998046876,-8.458728790283203,26.576225280761705,0.6874,0.921875
Vertical,LDA,IoU,10,12.243694108750224,11.386969616411049,4.431885701883768,3.3284659002377843,-7.811808406866456,-13.85946973460921,-2.110856405574687,0.0414,0.064453125
