set,method,metric,n,noBC_mean,noBC_std,BC_mean,BC_std,diff,ci_low,ci_high,p_perm,p_wilcoxon
Vertical,SVM,IoU,50,37.843837576559295,13.042213763707252,36.69490694841587,12.651156442670777,-1.1489306281434248,-1.729664167922644,-0.6965325247497731,0.0,4.946991082681142e-07
Vertical,SVM,Dice,50,53.60860967226261,14.200610478145393,52.42772921559513,14.066511797413202,-1.1808804566674747,-1.9128761397925835,-0.6800606219341434,0.0,6.741240940815144e-07
Vertical,SVM,Precision,50,47.78612504316352,14.566310645368844,45.84183813934093,14.206650187076248,-1.9442869038226018,-2.9661693698351623,-1.1806631578214257,0.0,4.696732589550207e-07
Vertical,SVM,Recall,50,63.17118713815033,14.963478358502083,63.636285571232435,15.244637780051567,0.4650984330821043,0.19286142689273225,0.7872963696307294,0.0002,3.6836078639392264e-05
Vertical,SVM,Accuracy,50,98.61923217773438,1.0176717621219558,98.5142822265625,1.0832522813728307,-0.104949951171875,-0.22381973266601562,-0.02538986206054689,0.0019,3.227786937622234e-06
Vertical,LightGBM,IoU,50,29.375856215970693,11.51978134257503,29.319067553988653,11.412907932200277,-0.05678866198203425,-0.31093923419614117,0.20731698371964602,0.6673,0.3862707203664827
Vertical,LightGBM,Dice,50,44.25692214134502,13.359606746751753,44.20208512513497,13.319769607154347,-0.05483701621004611,-0.3294774277436134,0.23986657834932346,0.711,0.3862707203664827
Vertical,LightGBM,Precision,50,33.90077257542016,12.488888238608773,33.77760394024249,12.36255633259404,-0.1231686351776749,-0.5464626247238158,0.2725708295916543,0.5936,0.3328797545683888
Vertical,LightGBM,Recall,50,67.39487004161714,14.673140416608302,67.40775330661764,14.61479747725965,0.012883265000491306,-0.08565618418347642,0.1049556303268728,0.7988,0.44126813332892967
Vertical,LightGBM,Accuracy,50,97.75888061523438,1.4670227935018048,97.75396728515625,1.463908752157944,-0.004913330078125,-0.021728515625,0.012268066406249998,0.5939,0.3328797545683888
Vertical,KNN,IoU,50,24.68297028889522,11.041869951336004,24.72242438651005,11.039342666246588,0.03945409761482499,-0.025099868767513085,0.12314087725486318,0.3574,0.12364826622844466
